solution_policy_category,solution_intervention_category,solution_name,state,solution_diversion_potential_tons_2022
Recycling,Recycle Anything Remaining,Centralized Composting,North Carolina,543780
Recycling,Recycle Anything Remaining,Centralized Composting,North Dakota,73111
Recycling,Recycle Anything Remaining,Centralized Composting,Ohio,596834
Recycling,Recycle Anything Remaining,Centralized Composting,Oklahoma,180885
Recycling,Recycle Anything Remaining,Centralized Composting,Oregon,229429
Recycling,Recycle Anything Remaining,Centralized Composting,Pennsylvania,593303
Recycling,Recycle Anything Remaining,Centralized Composting,Rhode Island,43480
Recycling,Recycle Anything Remaining,Centralized Composting,South Carolina,257883
Recycling,Recycle Anything Remaining,Centralized Composting,South Dakota,50791
Recycling,Recycle Anything Remaining,Centralized Composting,Tennessee,377999
Recycling,Recycle Anything Remaining,Centralized Composting,Texas,1169549
Recycling,Recycle Anything Remaining,Centralized Composting,Utah,151453
Recycling,Recycle Anything Remaining,Centralized Composting,Vermont,33172
Recycling,Recycle Anything Remaining,Centralized Composting,Virginia,459134
Recycling,Recycle Anything Remaining,Centralized Composting,Washington,528489
Recycling,Recycle Anything Remaining,Centralized Composting,West Virginia,84459
Recycling,Recycle Anything Remaining,Centralized Composting,Wisconsin,554974
Recycling,Recycle Anything Remaining,Centralized Composting,Wyoming,29525
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,Alabama,70797
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,Alaska,8912
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,Arizona,115857
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,Arkansas,55600
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,California,530041
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,Colorado,98215
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,Connecticut,47785
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,Delaware,15054
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,Florida,378491
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,Georgia,161914
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,Hawaii,15453
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,Idaho,52833
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,Illinois,194790
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,Indiana,113714
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,Iowa,71280
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,Kansas,47456
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,Kentucky,74309
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,Louisiana,103030
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,Maine,25570
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,Maryland,82337
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,Massachusetts,104140
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,Michigan,153282
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,Minnesota,115599
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,Mississippi,43636
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,Missouri,104612
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,Montana,12413
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,Nebraska,36599
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,Nevada,50335
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,New Hampshire,26557
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,New Jersey,121267
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,New Mexico,35308
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,New York,216717
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,North Carolina,164833
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,North Dakota,25704
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,Ohio,186154
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,Oklahoma,56296
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,Oregon,70294
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,Pennsylvania,184606
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,Rhode Island,12809
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,South Carolina,78448
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,South Dakota,16296
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,Tennessee,117981
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,Texas,365647
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,Utah,47313
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,Vermont,10394
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,Virginia,137498
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,Washington,170780
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,West Virginia,25499
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,Wisconsin,201938
Recycling,Recycle Anything Remaining,Co-Digestion At Wastewater Treatment Plants,Wyoming,8585
Recycling,Recycle Anything Remaining,Community Composting,Alabama,33316
Recycling,Recycle Anything Remaining,Community Composting,Alaska,4615
Recycling,Recycle Anything Remaining,Community Composting,Arizona,60104
Recycling,Recycle Anything Remaining,Community Composting,Arkansas,24013
Recycling,Recycle Anything Remaining,Community Composting,California,219144
Recycling,Recycle Anything Remaining,Community Composting,Colorado,48324
Recycling,Recycle Anything Remaining,Community Composting,Connecticut,25288
Recycling,Recycle Anything Remaining,Community Composting,Delaware,7276
Recycling,Recycle Anything Remaining,Community Composting,Florida,175421
Recycling,Recycle Anything Remaining,Community Composting,Georgia,73443
Recycling,Recycle Anything Remaining,Community Composting,Hawaii,6928
Recycling,Recycle Anything Remaining,Community Composting,Idaho,9703
Recycling,Recycle Anything Remaining,Community Composting,Illinois,79349
Recycling,Recycle Anything Remaining,Community Composting,Indiana,51462
Recycling,Recycle Anything Remaining,Community Composting,Iowa,24184
Recycling,Recycle Anything Remaining,Community Composting,Kansas,20911
Recycling,Recycle Anything Remaining,Community Composting,Kentucky,34845
Recycling,Recycle Anything Remaining,Community Composting,Louisiana,33236
Recycling,Recycle Anything Remaining,Community Composting,Maine,12021
Recycling,Recycle Anything Remaining,Community Composting,Maryland,40784
Recycling,Recycle Anything Remaining,Community Composting,Massachusetts,53763
Recycling,Recycle Anything Remaining,Community Composting,Michigan,66397
Recycling,Recycle Anything Remaining,Community Composting,Minnesota,34490
Recycling,Recycle Anything Remaining,Community Composting,Mississippi,20135
Recycling,Recycle Anything Remaining,Community Composting,Missouri,41019
Recycling,Recycle Anything Remaining,Community Composting,Montana,5770
Recycling,Recycle Anything Remaining,Community Composting,Nebraska,13498
Recycling,Recycle Anything Remaining,Community Composting,Nevada,23408
Recycling,Recycle Anything Remaining,Community Composting,New Hampshire,15074
Recycling,Recycle Anything Remaining,Community Composting,New Jersey,58271
Recycling,Recycle Anything Remaining,Community Composting,New Mexico,15741
Recycling,Recycle Anything Remaining,Community Composting,New York,90382
Recycling,Recycle Anything Remaining,Community Composting,North Carolina,78579
Recycling,Recycle Anything Remaining,Community Composting,North Dakota,5428
Recycling,Recycle Anything Remaining,Community Composting,Ohio,80708
Recycling,Recycle Anything Remaining,Community Composting,Oklahoma,25007
Recycling,Recycle Anything Remaining,Community Composting,Oregon,27256
Recycling,Recycle Anything Remaining,Community Composting,Pennsylvania,82034
Recycling,Recycle Anything Remaining,Community Composting,Rhode Island,6419
Recycling,Recycle Anything Remaining,Community Composting,South Carolina,37709
Recycling,Recycle Anything Remaining,Community Composting,South Dakota,6079
Recycling,Recycle Anything Remaining,Community Composting,Tennessee,51841
Recycling,Recycle Anything Remaining,Community Composting,Texas,151816
Recycling,Recycle Anything Remaining,Community Composting,Utah,18843
Recycling,Recycle Anything Remaining,Community Composting,Vermont,4104
Recycling,Recycle Anything Remaining,Community Composting,Virginia,67102
Recycling,Recycle Anything Remaining,Community Composting,Washington,47584
Recycling,Recycle Anything Remaining,Community Composting,West Virginia,12668
Recycling,Recycle Anything Remaining,Community Composting,Wisconsin,35866
Recycling,Recycle Anything Remaining,Community Composting,Wyoming,4570
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Alabama,50919
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Alaska,6997
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Arizona,88979
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Arkansas,36603
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,California,315456
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Colorado,71159
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Connecticut,37618
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Delaware,11073
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Florida,263392
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Georgia,110254
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Hawaii,9789
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Idaho,14243
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Illinois,118031
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Indiana,77857
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Iowa,36821
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Kansas,31292
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Kentucky,52724
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Louisiana,50754
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Maine,18030
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Maryland,60869
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Massachusetts,79028
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Michigan,99622
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Minnesota,51329
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Mississippi,30959
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Missouri,61840
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Montana,8465
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Nebraska,20176
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Nevada,33636
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,New Hampshire,22617
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,New Jersey,86780
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,New Mexico,23417
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,New York,134072
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,North Carolina,118395
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,North Dakota,8068
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Ohio,121158
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Oklahoma,37442
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Oregon,39615
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Pennsylvania,124440
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Rhode Island,9493
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,South Carolina,57156
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,South Dakota,9083
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Tennessee,78210
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Texas,220921
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Utah,27638
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Vermont,6127
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Virginia,99713
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Washington,69643
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,West Virginia,19300
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Wisconsin,53715
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Wyoming,6820
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Alabama,2436
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Alaska,218
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Arizona,3501
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Arkansas,1463
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,California,16471
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Colorado,2945
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Connecticut,1454
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Delaware,401
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Florida,10640
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Georgia,5387
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Hawaii,544
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Idaho,673
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Illinois,5602
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Indiana,3216
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Iowa,1368
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Kansas,1439
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Kentucky,2308
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Louisiana,2100
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Maine,540
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Maryland,2715
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Massachusetts,3134
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Michigan,4254
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Minnesota,2202
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Mississippi,1364
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Missouri,2888
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Montana,385
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Nebraska,924
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Nevada,1666
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,New Hampshire,665
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,New Jersey,3409
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,New Mexico,944
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,New York,6431
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,North Carolina,5111
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,North Dakota,330
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Ohio,5710
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Oklahoma,1994
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Oregon,1715
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Pennsylvania,5027
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Rhode Island,435
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,South Carolina,2473
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,South Dakota,377
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Tennessee,3575
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Texas,13947
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Utah,1382
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Vermont,183
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Virginia,4369
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Washington,2897
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,West Virginia,803
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Wisconsin,2266
Rescue,Strengthen Food Rescue,Donation Coordination & Matching,Wyoming,264
Rescue,Strengthen Food Rescue,Donation Education,Alabama,9358
Rescue,Strengthen Food Rescue,Donation Education,Alaska,573
Rescue,Strengthen Food Rescue,Donation Education,Arizona,52436
Rescue,Strengthen Food Rescue,Donation Education,Arkansas,7184
Rescue,Strengthen Food Rescue,Donation Education,California,395939
Rescue,Strengthen Food Rescue,Donation Education,Colorado,11448
Rescue,Strengthen Food Rescue,Donation Education,Connecticut,3352
Rescue,Strengthen Food Rescue,Donation Education,Delaware,3161
Rescue,Strengthen Food Rescue,Donation Education,Florida,68552
Rescue,Strengthen Food Rescue,Donation Education,Georgia,41892
Rescue,Strengthen Food Rescue,Donation Education,Hawaii,1574
Rescue,Strengthen Food Rescue,Donation Education,Idaho,27561
Rescue,Strengthen Food Rescue,Donation Education,Illinois,22884
Rescue,Strengthen Food Rescue,Donation Education,Indiana,14747
Rescue,Strengthen Food Rescue,Donation Education,Iowa,7477
Rescue,Strengthen Food Rescue,Donation Education,Kansas,4580
Rescue,Strengthen Food Rescue,Donation Education,Kentucky,5604
Rescue,Strengthen Food Rescue,Donation Education,Louisiana,8244
Rescue,Strengthen Food Rescue,Donation Education,Maine,6408
Rescue,Strengthen Food Rescue,Donation Education,Maryland,8544
Rescue,Strengthen Food Rescue,Donation Education,Massachusetts,10212
Rescue,Strengthen Food Rescue,Donation Education,Michigan,36211
Rescue,Strengthen Food Rescue,Donation Education,Minnesota,13231
Rescue,Strengthen Food Rescue,Donation Education,Mississippi,8486
Rescue,Strengthen Food Rescue,Donation Education,Missouri,10358
Rescue,Strengthen Food Rescue,Donation Education,Montana,1525
Rescue,Strengthen Food Rescue,Donation Education,Nebraska,5249
Rescue,Strengthen Food Rescue,Donation Education,Nevada,3728
Rescue,Strengthen Food Rescue,Donation Education,New Hampshire,1411
Rescue,Strengthen Food Rescue,Donation Education,New Jersey,14649
Rescue,Strengthen Food Rescue,Donation Education,New Mexico,3410
Rescue,Strengthen Food Rescue,Donation Education,New York,44094
Rescue,Strengthen Food Rescue,Donation Education,North Carolina,51734
Rescue,Strengthen Food Rescue,Donation Education,North Dakota,5668
Rescue,Strengthen Food Rescue,Donation Education,Ohio,18446
Rescue,Strengthen Food Rescue,Donation Education,Oklahoma,7193
Rescue,Strengthen Food Rescue,Donation Education,Oregon,26372
Rescue,Strengthen Food Rescue,Donation Education,Pennsylvania,25631
Rescue,Strengthen Food Rescue,Donation Education,Rhode Island,1007
Rescue,Strengthen Food Rescue,Donation Education,South Carolina,11278
Rescue,Strengthen Food Rescue,Donation Education,South Dakota,960
Rescue,Strengthen Food Rescue,Donation Education,Tennessee,9265
Rescue,Strengthen Food Rescue,Donation Education,Texas,46512
Rescue,Strengthen Food Rescue,Donation Education,Utah,4209
Rescue,Strengthen Food Rescue,Donation Education,Vermont,993
Rescue,Strengthen Food Rescue,Donation Education,Virginia,12778
Rescue,Strengthen Food Rescue,Donation Education,Washington,129402
Rescue,Strengthen Food Rescue,Donation Education,West Virginia,2874
Rescue,Strengthen Food Rescue,Donation Education,Wisconsin,25463
Rescue,Strengthen Food Rescue,Donation Education,Wyoming,481
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Alabama,2489
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Alaska,174
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Arizona,11770
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Arkansas,1840
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,California,85997
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Colorado,3107
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Connecticut,1067
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Delaware,753
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Florida,16917
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Georgia,9934
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Hawaii,434
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Idaho,5868
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Illinois,6077
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Indiana,3839
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Iowa,1892
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Kansas,1275
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Kentucky,1699
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Louisiana,2214
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Maine,1478
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Maryland,2419
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Massachusetts,2918
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Michigan,8542
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Minnesota,3266
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Mississippi,2075
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Missouri,2812
Rescue,Strengthen Food Rescue,Donation Storage Handling & Capacity,Montana,404
